src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
airtravelcenter,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
allegiantair,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
boston,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
businesstravellogue,AA-1007-MIA-PHX,,5:08 p.m.,,7:55 p.m.
flightaware,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:38 p.m.,7:43 p.m.
flightexplorer,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
flights,AA-1007-MIA-PHX,,5:08 p.m.,,7:55 p.m.
flightstats,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightview,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
flylouisville,AA-1007-MIA-PHX,,5:08 p.m.,,7:55 p.m.
flytecomm,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
foxbusiness,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
gofox,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
helloflight,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
myrateplan,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
mytripandmore,AA-1007-MIA-PHX,4:55 p.m.,4:56 p.m.,8:05 p.m.,7:55 p.m.
orbitz,AA-1007-MIA-PHX,4:55 p.m.,4:56 p.m.,8:05 p.m.,7:55 p.m.
panynj,AA-1007-MIA-PHX,,5:09 p.m.,,7:53 p.m.
quicktrip,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
wunderground,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,7:38 p.m.,7:43 p.m.
aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
airtravelcenter,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
allegiantair,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
boston,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:58 a.m.
businesstravellogue,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightaware,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,9:25 a.m.,9:45 a.m.
flightexplorer,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
flights,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightstats,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightview,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flytecomm,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
foxbusiness,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
gofox,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
helloflight,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
mia,AA-1165-JFK-MIA,,,10:34A 12-01-11,10:08A
myrateplan,AA-1165-JFK-MIA,,7:23 a.m.,,9:45 a.m.
mytripandmore,AA-1165-JFK-MIA,6:59aDec 1,6:56aDec 1,10:34aDec 1,10:04aDec 1
orbitz,AA-1165-JFK-MIA,6:59aDec 1,6:56aDec 1,10:34aDec 1,10:04aDec 1
panynj,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,10:04 a.m.
quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
travelocity,AA-1165-JFK-MIA,6:59 a.m.,6:56 a.m.,10:34 a.m.,10:04 a.m.
weather,AA-1165-JFK-MIA,6:59 a.m.,7:23 a.m.,10:34 a.m.,9:56 a.m.
world-flight-tracker,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
wunderground,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,9:25 a.m.,9:45 a.m.
aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
airtravelcenter,AA-1221-MCO-ORD,,8:23 p.m.,,9:47 p.m.
allegiantair,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:49 p.m.
